Symbol,Time,Open,High,Low,Close,Volume,Ticker
AAA,2023-12-22,9250,9350,9230,9240,1226100,AAA
AAM,2023-12-22,9590,9590,9130,9200,1200,AAM
AAS,2023-12-22,8500,8600,8400,8400,397000,AAS
AAT,2023-12-22,4940,4970,4850,4890,173500,AAT
AAV,2023-12-22,4200,4300,4200,4200,105300,AAV
ABB,2023-12-22,8000,8000,7800,7900,402300,ABB
ABC,2023-12-22,13400,13400,12800,13400,6200,ABC
ABI,2023-12-22,25600,26900,25300,25800,69000,ABI
ABR,2023-12-22,13300,13300,13300,13300,100,ABR
ABS,2023-12-22,5700,5750,5700,5720,365400,ABS
ABT,2023-12-22,34500,34500,34500,34500,1600,ABT
ABW,2023-12-22,10000,10100,9900,10000,129400,ABW
ACB,2023-12-22,23200,23300,23200,23200,4510000,ACB
ACC,2023-12-22,12250,12350,12250,12350,27200,ACC
ACE,2023-12-22,35000,36600,35000,36600,15000,ACE
ACG,2023-12-22,37100,37750,37100,37750,12500,ACG
ACL,2023-12-22,12100,12200,11900,12000,20700,ACL
ACM,2023-12-22,500,600,400,600,293300,ACM
ACS,2023-12-22,6400,6400,6400,6400,100,ACS
ACV,2023-12-22,61500,62800,61200,62200,169300,ACV
ADC,2023-12-22,18400,18400,18400,18400,100,ADC
ADG,2023-12-22,22000,22000,21500,21500,5800,ADG
ADS,2023-12-22,13350,13350,13150,13200,154300,ADS
AFX,2023-12-22,8900,9000,8600,8700,96900,AFX
AG1,2023-12-22,7500,7500,7500,7500,600,AG1
AGF,2023-12-22,2800,2800,2800,2800,100,AGF
AGG,2023-12-22,25000,25000,24500,24900,421400,AGG
AGP,2023-12-22,25000,25000,25000,25000,2000,AGP
AGR,2023-12-22,16050,16250,15800,15950,1237400,AGR
AIC,2023-12-22,14700,14700,14700,14700,3000,AIC
ALV,2023-12-22,3900,4100,3900,4100,108800,ALV
AMP,2023-12-22,26600,26600,22500,26400,300,AMP
AMS,2023-12-22,10200,10300,10100,10200,136100,AMS
AMV,2023-12-22,3900,4000,3800,3900,763700,AMV
ANT,2023-12-22,11300,11900,11300,11900,3600,ANT
ANV,2023-12-22,31500,31500,30700,30750,1160900,ANV
APC,2023-12-22,9100,9400,9000,9400,1600,APC
APG,2023-12-22,11500,11650,11350,11350,634000,APG
APH,2023-12-22,7480,7500,7430,7500,464600,APH
API,2023-12-22,5800,5800,5600,5700,211000,API
APP,2023-12-22,4600,4700,4600,4600,1500,APP
APS,2023-12-22,6700,6800,6700,6800,304500,APS
APT,2023-12-22,2200,2200,2200,2200,100,APT
ASG,2023-12-22,21600,21600,20900,21450,3400,ASG
ASM,2023-12-22,10100,10200,9970,9980,2026400,ASM
ASP,2023-12-22,5010,5030,4940,5010,3100,ASP
AST,2023-12-22,50500,52500,49800,50000,10500,AST
ATA,2023-12-22,1100,1200,1100,1100,36900,ATA
ATB,2023-12-22,600,600,500,600,3200,ATB
ATG,2023-12-22,2400,2500,2400,2400,2700,ATG
AVC,2023-12-22,55300,55300,51200,53900,3100,AVC
BAB,2023-12-22,12700,12700,12600,12600,2100,BAB
BAF,2023-12-22,25650,25700,25350,25550,2041900,BAF
BAX,2023-12-22,43600,43600,43600,43600,3500,BAX
BBT,2023-12-22,9400,9400,9400,9400,100,BBT
BCA,2023-12-22,7100,7400,7100,7200,82900,BCA
BCC,2023-12-22,8900,9300,8900,9200,92900,BCC
BCE,2023-12-22,5600,5850,5600,5660,28800,BCE
BCF,2023-12-22,31000,31000,31000,31000,100,BCF
BCG,2023-12-22,8860,8890,8790,8870,3316700,BCG
BCM,2023-12-22,61100,61800,60800,61800,398000,BCM
BCR,2023-12-22,8900,9100,8700,8700,593800,BCR
BDG,2023-12-22,27500,27500,27500,27500,2000,BDG
BDT,2023-12-22,14000,14000,13700,13700,5000,BDT
BED,2023-12-22,14800,14800,14800,14800,4000,BED
BFC,2023-12-22,24350,24750,24000,24350,98700,BFC
BHI,2023-12-22,17000,17000,16300,16300,600,BHI
BHN,2023-12-22,39800,40000,38700,38700,3500,BHN
BIC,2023-12-22,25250,25400,25150,25200,18100,BIC
BID,2023-12-22,41800,42450,41400,42450,1189100,BID
BIG,2023-12-22,10000,10100,9500,9800,462000,BIG
BII,2023-12-22,700,700,600,700,317800,BII
BKG,2023-12-22,4440,4490,4400,4400,43800,BKG
BLF,2023-12-22,3200,3200,3000,3000,13900,BLF
BMC,2023-12-22,14900,15000,14900,15000,18100,BMC
BMF,2023-12-22,8000,8000,7900,7900,600,BMF
BMG,2023-12-22,22400,22400,22400,22400,5000,BMG
